run_logged_at,status,simulated_start_date,simulated_end_date,capacity_rows,patient_rows,admission_rows,event_rows,first_admission_ts,last_admission_ts,first_event_ts,last_event_ts
2026-07-05T12:48:26,success,2025-01-31,2025-01-31,15,75,87,208,2025-01-31T00:18:00,2025-01-31T23:41:00,2025-01-31T00:09:00,2025-01-31T23:53:00
2026-07-05T12:48:29,success,2025-02-01,2025-02-01,15,70,82,137,2025-02-01T00:18:00,2025-02-01T23:41:00,2025-02-01T00:04:00,2025-02-01T23:54:00
2026-07-05T12:48:32,success,2025-02-02,2025-02-02,15,70,82,134,2025-02-02T00:18:00,2025-02-02T23:41:00,2025-02-02T00:04:00,2025-02-02T23:54:00
2026-07-05T12:48:42,success,2025-02-03,2025-02-03,15,75,87,142,2025-02-03T00:18:00,2025-02-03T23:41:00,2025-02-03T00:04:00,2025-02-03T23:54:00
2026-07-05T12:48:45,success,2025-02-04,2025-02-04,15,75,87,143,2025-02-04T00:18:00,2025-02-04T23:41:00,2025-02-04T00:04:00,2025-02-04T23:54:00
